Date,USD_Price,GBP_Price,CAD_Price,AUD_Price
2007-06-01,40.525,81.437,38.041,34.395
2007-07-01,40.19,81.543,37.657,34.192
2007-08-01,40.64,81.963,38.492,33.233
2007-09-01,39.66,81.178,40.0,35.192
2007-10-01,39.195,81.594,41.551,36.555
2007-11-01,39.52,81.279,39.52,34.925
2007-12-01,39.405,78.239,39.537,34.517
2008-01-01,39.28,78.106,39.151,35.205
2008-02-01,39.92,79.319,40.548,37.174
2008-03-01,40.03,79.374,38.995,36.559
2008-04-01,40.46,80.376,40.161,38.136
2008-05-01,42.16,83.576,42.44,40.301
2008-06-01,42.93,85.547,42.043,41.129
2008-07-01,42.483,84.273,41.508,40.013
2008-08-01,43.87,79.903,41.239,37.651
2008-09-01,46.815,83.495,44.02,37.192
2008-10-01,49.325,79.267,40.68,32.941
2008-11-01,49.575,76.299,40.117,32.429
2008-12-01,48.62,71.058,39.957,34.401
2009-01-01,48.85,70.913,39.811,31.024
2009-02-01,51.005,72.99,40.07,32.636
2009-03-01,50.57,72.444,40.082,35.002
2009-04-01,49.725,73.543,41.665,36.06
2009-05-01,47.12,76.261,43.2,37.752
2009-06-01,47.75,78.623,41.066,38.518
2009-07-01,47.825,79.966,44.367,39.95
2009-08-01,48.69,79.248,44.478,41.114
2009-09-01,47.735,76.397,44.669,42.181
2009-10-01,46.925,77.156,43.263,42.202
2009-11-01,46.535,76.564,44.084,42.587
2009-12-01,46.41,74.983,44.124,41.646
2010-01-01,46.125,73.823,43.114,40.823
2010-02-01,46.105,70.305,43.803,41.269
2010-03-01,44.825,68.062,44.147,41.106
2010-04-01,44.275,67.61,43.511,40.939
2010-05-01,46.365,67.414,44.375,39.25
2010-06-01,46.445,69.428,43.629,39.014
2010-07-01,46.405,72.784,45.064,41.958
2010-08-01,47.065,72.254,44.232,41.893
2010-09-01,44.57,70.033,43.287,43.076
2010-10-01,44.325,71.064,43.484,43.574
2010-11-01,45.8,71.192,44.581,43.844
2010-12-01,44.713,69.728,44.803,45.728
2011-01-01,45.825,73.353,45.75,45.635
2011-02-01,45.265,73.575,46.569,46.088
2011-03-01,44.535,71.37,45.878,45.976
2011-04-01,44.255,73.885,46.83,48.509
2011-05-01,45.06,74.115,46.496,48.069
2011-06-01,44.7,71.701,46.378,47.894
2011-07-01,44.21,72.568,46.263,48.567
2011-08-01,45.8,74.418,46.811,49.0
2011-09-01,49.02,76.367,46.667,47.334
2011-10-01,48.695,78.323,48.7,51.3
2011-11-01,52.13,81.787,51.118,53.553
2011-12-01,53.015,82.351,51.991,54.182
2012-01-01,49.515,77.972,49.352,52.534
2012-02-01,49.11,78.157,49.616,52.704
2012-03-01,50.875,81.443,50.972,52.605
2012-04-01,52.665,85.456,53.317,54.882
2012-05-01,56.04,86.303,54.209,54.5
2012-06-01,55.51,87.163,54.583,56.793
2012-07-01,55.56,87.069,55.362,58.294
2012-08-01,55.525,88.088,56.268,57.28
2012-09-01,52.855,85.411,53.737,54.822
2012-10-01,53.805,86.769,53.795,55.801
2012-11-01,54.265,86.93,54.604,56.62
2012-12-01,54.995,89.057,55.225,57.005
2013-01-01,53.275,84.449,53.388,55.545
2013-02-01,54.37,82.455,52.751,55.534
2013-03-01,54.285,82.533,53.357,56.543
2013-04-01,53.685,83.37,53.275,55.661
2013-05-01,56.58,85.975,54.494,54.137
2013-06-01,59.533,90.54,56.575,54.38
2013-07-01,60.855,92.513,59.189,54.634
2013-08-01,65.705,101.888,62.328,58.447
2013-09-01,62.59,101.271,60.688,58.27
2013-10-01,61.624,98.829,59.063,58.275
2013-11-01,62.399,102.1,58.763,56.836
2013-12-01,61.8,102.316,58.159,55.082
2014-01-01,62.68,102.996,56.306,54.864
2014-02-01,61.79,103.455,55.833,55.154
2014-03-01,60.005,99.98,54.298,55.577
2014-04-01,60.34,101.794,55.03,56.014
2014-05-01,59.18,99.127,54.569,55.091
2014-06-01,60.045,102.695,56.254,56.622
2014-07-01,60.55,102.233,55.5,56.281
2014-08-01,60.505,100.42,55.601,56.469
2014-09-01,61.925,100.393,55.28,54.153
2014-10-01,61.39,98.193,54.482,53.986
2014-11-01,62.195,97.31,54.481,52.922
2014-12-01,63.03,98.157,54.229,51.483
2015-01-01,62.01,93.424,48.7,48.157
2015-02-01,61.649,95.137,49.28,48.142
2015-03-01,62.281,92.276,49.083,47.365
2015-04-01,63.52,97.496,52.591,50.199
2015-05-01,63.733,97.435,51.191,48.667
2015-06-01,63.594,99.874,50.896,48.993
2015-07-01,63.978,99.946,48.872,46.717
2015-08-01,66.402,101.874,50.523,47.212
2015-09-01,65.507,99.092,49.187,45.966
2015-10-01,65.413,100.919,50.01,46.685
2015-11-01,66.452,100.037,49.729,48.019
2015-12-01,66.198,97.563,47.824,48.159
2016-01-01,67.868,96.678,48.564,48.064
2016-02-01,68.198,94.898,50.361,48.68
2016-03-01,66.25,95.122,50.934,50.708
2016-04-01,66.415,97.039,52.899,50.489
2016-05-01,67.199,97.284,51.316,48.578
2016-06-01,67.493,89.827,52.215,50.262
2016-07-01,66.63,88.118,51.1,50.605
2016-08-01,66.963,87.969,51.097,50.316
2016-09-01,66.546,86.343,50.678,50.934
2016-10-01,66.675,81.624,49.713,50.733
2016-11-01,68.588,85.763,51.044,50.632
2016-12-01,67.945,83.816,50.573,49.022
2017-01-01,67.49,84.882,51.788,51.178
2017-02-01,66.7,82.575,50.143,51.072
2017-03-01,64.85,81.406,48.694,49.468
2017-04-01,64.27,83.204,47.07,48.1
2017-05-01,64.505,83.134,47.771,47.921
2017-06-01,64.615,84.161,49.83,49.663
2017-07-01,64.17,84.794,51.418,51.349
2017-08-01,63.93,82.655,51.209,50.799
2017-09-01,65.305,87.483,52.361,51.153
2017-10-01,64.74,85.988,50.233,49.558
2017-11-01,64.48,87.209,49.988,48.786
2017-12-01,63.83,86.247,50.735,49.794
2018-01-01,63.54,90.163,51.587,51.175
2018-02-01,65.2,89.709,50.803,50.602
2018-03-01,65.11,91.252,50.485,49.991
2018-04-01,66.45,91.495,51.728,50.043
2018-05-01,67.42,89.655,52.022,51.017
2018-06-01,68.45,90.402,52.117,50.667
2018-07-01,68.45,89.834,52.617,50.831
2018-08-01,71.0,92.023,54.448,51.049
2018-09-01,72.5,94.453,56.167,52.403
2018-10-01,73.95,94.405,56.206,52.305
2018-11-01,69.64,88.826,52.365,50.942
2018-12-01,69.56,88.738,51.005,49.033
2019-01-01,70.95,92.994,54.065,51.616
2019-02-01,70.83,93.928,53.781,50.247
2019-03-01,69.18,90.148,51.828,49.076
2019-04-01,69.636,90.743,52.018,49.079
2019-05-01,69.57,87.888,51.476,48.268
2019-06-01,68.94,87.506,52.65,48.396
2019-07-01,68.86,83.713,52.194,47.128
2019-08-01,71.451,86.856,53.666,48.129
2019-09-01,70.64,86.817,53.341,47.654
2019-10-01,70.978,91.846,53.922,48.925
2019-11-01,71.746,92.789,54.03,48.529
2019-12-01,71.35,94.66,54.94,50.095
2020-01-01,71.54,94.426,54.046,47.867
2020-02-01,72.534,92.989,54.126,47.212
2020-03-01,75.333,93.549,53.564,46.217
2020-04-01,75.077,94.537,53.826,48.875
2020-05-01,75.59,93.308,54.883,50.388
2020-06-01,75.54,93.662,55.63,52.138
2020-07-01,74.916,98.013,55.837,53.505
2020-08-01,73.254,97.933,56.142,54.025
2020-09-01,73.56,95.025,55.225,52.684
2020-10-01,74.554,96.48,55.967,52.382
2020-11-01,73.99,98.562,56.898,54.346
2020-12-01,73.036,99.862,57.342,56.194
2021-01-01,72.877,99.834,57.02,55.693
2021-02-01,73.92,102.985,58.008,56.955
2021-03-01,73.137,100.775,58.221,55.555
2021-04-01,74.05,102.293,60.237,57.137
2021-05-01,72.511,103.031,60.095,56.066
2021-06-01,74.36,102.818,59.977,55.755
2021-07-01,74.337,103.336,59.594,54.593
2021-08-01,72.947,100.331,57.812,53.361
2021-09-01,74.164,99.914,58.48,53.591
2021-10-01,74.915,102.567,60.46,56.344
2021-11-01,75.09,99.832,58.756,53.487
2021-12-01,74.467,100.746,58.923,54.063
2022-01-01,74.529,100.204,58.643,52.647
2022-02-01,75.493,101.304,59.542,54.823
2022-03-01,75.901,99.689,60.707,56.774
2022-04-01,76.52,96.193,59.502,54.046
2022-05-01,77.569,97.737,61.329,55.648
2022-06-01,78.95,96.122,61.33,54.483
2022-07-01,79.336,96.52,62.006,55.416
2022-08-01,79.491,92.384,60.523,54.364
2022-09-01,81.509,90.964,58.936,52.182
2022-10-01,82.77,94.929,60.744,52.948
2022-11-01,81.359,98.086,60.666,55.21
2022-12-01,82.717,100.063,61.032,56.355
2023-01-01,81.739,100.702,61.426,57.659
2023-02-01,82.64,99.333,60.547,55.6
2023-03-01,82.16,101.328,60.783,54.924
2023-04-01,81.72,102.648,60.292,54.041
2023-05-01,82.68,102.829,60.902,53.742
2023-06-01,82.091,104.288,62.002,54.722
2023-07-01,82.24,105.555,62.35,55.224
2023-08-01,82.702,104.808,61.211,53.615
2023-09-01,83.03,101.272,61.15,53.422
2023-10-01,83.256,101.173,60.004,52.751
2023-11-01,83.357,105.213,61.464,55.049
2023-12-01,83.19,105.893,62.785,56.652
2024-01-01,83.095,105.375,61.832,54.552
2024-02-01,82.9,104.645,61.037,53.844
2024-03-01,83.35,105.204,61.545,54.353
2024-04-01,83.45,104.237,60.559,54.0
2024-05-01,83.424,106.274,61.206,55.494
2024-06-01,83.355,105.377,60.923,55.573
2024-07-01,83.699,107.604,60.612,54.739
2024-08-01,83.867,110.084,62.147,56.728
2024-09-01,83.755,111.98,61.922,57.891
2024-10-01,84.061,108.422,60.328,55.321
2024-11-01,84.559,107.703,60.386,55.048
2024-12-01,85.554,107.037,59.474,52.932
